Kind, Manufacturer, Pattern Name, Pattern Number, Item Number, Description
silver, Wallace Bros, Bethany (Brass, Stainless), n/a, 413762,  BRASS,STAINLESS,18/10,SCROLL PIERCED TIP
silver, Wallace Bros, Bethany (Stainless), n/a, 322862,  STAINLESS
silver, Wallace Bros, Betsy Ross (Sterling,Holloware), 210, 411230,  STERLING,HOLLOWARE,PLAIN,SWIRL 
silver, Wallace Bros, Beveled-Ivory (Stainless), n/a, 404010,  STAINLESS,BEVELED PEARL IVORY HANDLE
silver, Wallace Bros, Beveled-Tortoise (Stainless), n/a, 404012,  STAINLESS,BEVELED TORTOISE HANDLE
silver, Wallace Bros, Biltmore, n/a, 132101,  STAINLESS,18/8, INDONESIA, GLOSSY
silver, Wallace Bros, Birthday/Zodiac Spoons (Sterling), n/a, 419151,  STERLING,MULTIMOTIF,FLORAL
silver, Wallace Bros, Black Horn (Stainless), n/a, 330140,  STAINLESS,18/10,BLACK HORN&AMP;FLORAL BANDS
silver, Wallace Bros, Blenheim (Sterling, 1911), 1911, 110454,  STERLING, 1911
silver, Wallace Bros, Blossom (Silverplate, 1909, Monograms), 1909, 186844,  SILVERPLATE, 1909, MONOGRAMS
silver, Wallace Bros, Blossom (Silverplate,1909,No Monograms), 1909, 110455,  SILVERPLATE, 1909, NO MONOGRAMS
silver, Wallace Bros, Blue Room, n/a, 277310,  STAINLESS,18/10,SPODE, CHINA, GLOSSY
silver, Wallace Bros, Bolero (Sterling), n/a, 110456,  STERLING, ITALY
silver, Wallace Bros, Bordeaux (Stainless), n/a, 110457,  STAINLESS,18/10     
silver, Wallace Bros, Bridal Corsage (Silverplate, 1953), 1953, 110458,  SILVERPLATE, 1953
silver, Wallace Bros, Bright Star (Stainless), n/a, 110460,  STAINLESS, 1957, GLOSSY, ASTERICKS
silver, Wallace Bros, Buckingham (Silverplate,1924,Hollowware), 1924, 170515,  SILVERPLATE, 1924, HOLLOWWARE ONLY
silver, Wallace Bros, Buckingham (Slvp, 1924, Monograms), 1924, 176955,  SILVERPLATE, 1924, MONOGRAMS
silver, Wallace Bros, Buckingham (Slvp, 1924, No Monograms), 1924, 110461,  SILVERPLATE, 1924, NO MONOGRAMS
silver, Wallace Bros, Butterfly (Stainless), n/a, 347544,  STAINLESS,BUTTERFLY TIP,TWISTED HANDLE
silver, Wallace Bros, Cabot (Sterling, 1917, Monograms), 1917, 171652,  STERLING, 1917, MONOGRAMS
silver, Wallace Bros, Cabot (Sterling, 1917, No Monograms), 1917, 110462,  STERLING, 1917, NO MONOGRAMS
silver, Wallace Bros, Cairo (Sterling, 1908, Monograms), 1908, 190139,  STERLING, 1908, MONOGRAMS
silver, Wallace Bros, Cairo (Sterling, 1908, No Monograms), 1908, 110463,  STERLING, 1908, NO MONOGRAMS
silver, Wallace Bros, Camden (Stainless), n/a, 354845,  STAINLESS,18/0,GLOSSY,FLORAL &AMP; SCROLLS
silver, Wallace Bros, Camden (Stainless), W659, 237851,  STAINLESS, 18/10, INDO/CHINA,GLOSSY
silver, Wallace Bros, Campania (Sterling, 1914), 1914, 110464,  STERLING,1914,TURNED DOWN TIP
silver, Wallace Bros, Candlewick (Sterling, Hollowware), n/a, 197116,  STERLING, HOLLOWWARE ONLY
silver, Wallace Bros, Capitol (Sterling, Date Unknown), n/a, 324698,  STERLING, VERTICAL LINES AT TIP &AMP; HEEL
silver, Wallace Bros, Cardinal (Silverplate, 1907, Monograms), 1907, 176953,  SILVERPLATE, 1907, MONOGRAMS
silver, Wallace Bros, Cardinal (Silverplate,1907,No Monograms), 1907, 110466,  SILVERPLATE, 1907, NO MONOGRAMS
silver, Wallace Bros, Cardinale (Sterling, 1995), 1995, 110467,  STERLING, 1995      ITALY
